Volunteer_ID,Description
1,hi there ive been teaching english as a second language for about 3 yrs now really passionate about helping the community available most weekends and some evenings after 6pm
2,im pretty good with graphic design stuff photoshop illustrator etc would love to help nonprofits with their promotional materials i work from home so can be flexible with my hours
3,so im a software developer python js some c and looking to help with open source projects free most evenings after work and weekends except when im gaming
4,passionate about saving the environment organized 3 beach cleanups last year can help once a month or so just message me
5,first aid instructor certified looking to volunteer with disaster relief orgs when needed can be available whenever theres an emergency
6,former teacher taught middle school for 15 years want to tutor kids who need help but cant afford it free monday wednesday friday afternoons from 35
7,i do social media marketing for a living happy to help small charities with their fb insta tiktok etc can do like 5 hrs a week remotely probably dm me for my portfolio
8,retired nurse here 30 years experience want to help in underserved areas with basic healthcare available tuesdays and thursdays transportation might be an issue sometimes
9,accountant with 10 yrs exp can help small orgs with their books available monthly or quarterly for reviews no tax returns please i do enough of those at work lol
10,bevent plannerb organized fundraisers conferences weddings etc love animals so would be great to help animal shelters not available during summer months juneaug
11,hablo espaol e ingls me encantara trabajar como traductor para comunidades de inmigrantes los fines de semana funcionan mejor para m puedo ayudar con documentos y reuniones
12,been gardening for 20 years know a lot about sustainable practices native plants willing to help with community gardens available springfall not during winter obviously
13,professional photographer here got all my own equipment would do free photos for nonprofits for their websitessocialetc just need advanced notice for scheduling check out my work at wwwphotosbyjasoncom
14,mental health counselor licensed interested in working with youth can commit to 2 evenings per week note need to make sure proper supervision protocols are in place
15,ive written successful grants for several nonprofits references available happy to help educational programs find can work remotely on my own schedule
16,chef with lots of experience would love to teach cooking basics to people healthy meals on a budget is my specialty saturdays are best for me
17,digital marketing is my thing seo ppc email campaigns etc want to help environmental orgs reach more people remote work preferred flexible hours
18,carpenter 15 yrs have my own tools can help build stuff for housing projects etc weekends only have a busy job during the week
19,im a lawyer corporate law background can give some free legal advice to nonprofits dont need much just schedule a time and we can zoom
20,web developer html css wordpress php will help small community orgs with websites let me know what u need and ill see if i can fit it in
21,early childhood educator here love working with little ones on reading writing free most mornings before 12pm
22,certified fitness instructor can teach classes for older folks or kids available mwf mornings or evenings whatever works
23,project manager got my pmp last year can help organize community projects set timelines coordinate volunteers etc available for evening meetings and can oversee via emailphone
24,artist and art teacher love doing workshops with kids can do weekends or sometimes weeknights depending on my other job let me know what ur thinking
25,trained in conflict resolution mediation interested in community programs can be available for scheduled sessions just need notice
26,musician play guitar drums keyboard happy to perform at fundraisers or teach basic music to kids dm me for samples of my music or check soundcloudcomjimplaysmusic
27,im a public speaking coach and would love to help community advocates get better at presentations available for scheduled sessions inperson preferred but zoom works too
28,it guy here can help nonprofits with computer problems setting up networks security stuff etc can mostly help remotely but can come onsite if needed in the city
29,i teach financial literacy classes budgeting saving basic investing etc would like to offer this to underserved communities can do monthly workshops
30,worked at wildlife rehab center for 3 years love animals and want to keep helping available weekends and for emergency rescues when needed
31,journalistwriter can help with newsletters press releases content work from home so can be flexible with deadlines please no phone calls email is best
32,civil engineer with focus on infrastructure can consult on community projects review plans etc available for occasional meetings and site visits when scheduled in advance
33,i make videos did some promotional stuff for local businesses want to help good causes with video content have my own equipment flexible schedule for shooting
34,hr professional 15 years exp can help with volunteer onboarding policies recruitment etc monthly planning sessions would work best for me
35,nutritionist here specialized in budgetfriendly healthy eating would love to help with food programs weekends work best for workshops
36,experienced fundraiser worked on campaigns raising 50k to 2m can help healthcare initiatives available for planning and strategy sessions flexible timing
37,database admin excel wizard can help orgs manage their data create reports etc prefer remote work available most evenings
38,youth basketball coach for 8 years want to work with kids in afterschool programs available 36pm on weekdays in the north side area only
39,social worker with experience in homeless services can help with outreach and connecting people to resources available tuesdays and thursdays
40,have worked in solar energy for 5 years can educate about renewable energy and sustainability good at explaining complex things simply available for scheduled presentations
41,data analyst who loves making pretty charts can help nonprofits understand their impact data remote work please can do evening zoom calls
42,former librarian passionate about literacy can help with educational programs book drives etc available weekends some weekdays depending on my schedule
43,urban planner by profession interested in helping community development initiatives especially in underserved areas can make planning meetings and occasional workshops
44,im a wilderness guide during summers can lead outdoor education hikes teach survival skills etc available seasonally not during summer when im working
45,pracuji jako zdravotnk a rd bych pomohl s programy prvn pomoci jsem k dispozici vtinu veer a o vkendech mluvm esky a anglicky mohu pomoci s pekladem pro eskou komunitu
46,art therapist in training finishing my certification interested in trauma recovery programs can commit to thursday and sunday evenings
47,i produce podcasts for a living happy to help orgs share their stories can work remotely on production editing etc just need content from you
48,historian specializing in local history interested in preservation projects available weekends for research site work community education etc
49,special ed teacher with focus on inclusive recreation looking to volunteer with programs that integrate kids of all abilities available weeknights after 5pm
50,corporate trainer can do professional development workshops for nonprofit staff on leadership communication etc can do monthly sessions with advance notice
51,worked at animal shelter for 3 years love helping with care and adoption events available weekends and some evenings when im not at my regular job
52,environmental scientist phd can help with monitoring programs water testing etc also good at explaining science to nonscientists weekends only plz
53,vcu en afrique pendant 10 ans je parle couramment franais anglais et un peu darabe peut aider avec la traduction pour les nouveaux arrivants disponible les weekends et quelques soirs
54,mobile app developer ios and android can create simple apps for community services work remotely in my spare time may take a while depending on complexity
55,trained in restorative justice facilitation interested in community mediation programs available for evening sessions twice monthly
56,physical therapist here can offer services 1 dayweek to seniors or others who need it have portable equipment and can travel within city limits
57,water quality expert work for the city happy to help with conservation testing public education available weekends for field work
58,supply chain manager by day can help food banks optimize their operations inventory distribution etc best for consulting rather than regular shifts
59,passionate about zero waste living run workshops on reducing waste composting etc available monthly for community presentations
60,ive been a mckinsey consultant for 8 years specialized in nonprofit sector can help with strategic planning efficiency improvements and organizational development available for pro bono consulting 5 hoursmonth
61,safety compliance specialist can help ensure community programs meet standards available for scheduled assessments and training not regular volunteering
62,housing advocate with 5 years experience interested in homelessness prevention and tenant rights available for regular meetings and some outreach work
63,ux designer for tech company can help improve website experiences for nonprofit services remote work in evenings and some weekends
64,survivor of domestic violence now work as an advocate interested in support and education programs available evenings for groups speaking engagements etc
65,beekeeper for 7 years can teach about bees help with environmental education available during beekeeping season springfall for demonstrations
66,teach life skills for adults with developmental disabilities can offer similar workshops for transitional programs available weekends
67,victim advocate with crisis center background can support intervention programs experienced with hotlines court accompaniment etc available for oncall shifts
68,grew up on a farm managed community gardens know a lot about growing food available weekends during growing season to help with urban agriculture
69,policy analyst for state govt can help advocacy orgs develop positions understand legislation etc prefer remote consulting due to potential conflicts of interest
70,veteran and veterans services coordinator interested in supporting other vets with reintegration resources etc available mondays and wednesdays
71,can make websites look pretty and work good not a professional but taught myself html and design stuff helped my church with their site free after 7pm most days also weekends
72,12 years in recovery peer support specialist want to help with addiction recovery groups available evenings for meetings oneonone support etc
73,marine biologist research focus interested in coastal conservation and education programs available weekends for field programs beach cleanups etc
74,volunteerid 74 background immigrant rights paralegal skills citizenship preparation document review bilingual spanish availability weekends location preference within 10km of central london
75,forestry management background interested in conservation education tree planting initiatives etc available for scheduled field days mostly spring and fall
76,adaptive sports coach experience with wheelchair basketball inclusive recreation available weekends for scheduled activities
77,emergency mgmt professional can help communities with preparedness planning risk assessment etc available for scheduled workshops not ongoing positions
78,former foster youth now social worker want to support youth transition programs available evenings for mentoring support groups etc
79,im really passionate about giving back to the community i dont have any specific skills but im a hard worker and quick learner could help with whatever needs doing available most evenings after 6 and all day sunday
80,worked internationally in conflict zones experienced with peace building and crosscultural programs available for dialogue facilitation cultural education etc
81,culinary instructor focusing on affordable meals can teach budgeting nutrition basic cooking available weekends for community kitchen events
82,water conservation specialist can help with community programs rain barrel workshops etc available for educational events not regular commitment
83,audio engineer producer can help with podcasts event sound recording for nonprofits available for scheduled projects have own equipment
84,disability advocate i use a wheelchair myself can help with accessibility education inclusive planning available weekdays for consultingtraining
85,documentation specialist for indigenous language preservation interested in cultural heritage projects available weekends for community work
86,this is my volunteer application form name michael rodriguez age 42 skills traumainformed care trainer availability monthly for scheduled trainings additional notes prefer working with service providers
87,housing counselor specializing in fair housing can educate about tenant rights discrimination issues available evenings for info sessions
88,solar energy installer can consult on community sustainability projects offgrid solutions available for assessment and education
89,gerontology background work with seniors interested in aginginplace support programs available weekday mornings for home visits group activities
90,wildlife photographer can document conservation efforts create materials for awareness campaigns available for field work as scheduled
91,worked with refugees for 10 years interested in support and integration programs available weekends for community events mentoring etc
92,sustainable fashion advocate seamstress teach mending upcycling textile reuse available monthly for community workshops
93,indigenous rights advocate im navajo interested in cultural preservation programs available for scheduled events not regular commitment
94,i have skills in the following areas air quality monitoring environmental engineering community science facilitation data analysis for advocacy i can volunteer weekends only and would need my transportation costs covered as i dont have a car
95,child welfare background family support specialist interested in prevention programs available evenings for support groups classes etc
96,small business consultant can help with community entrepreneurship programs especially for underserved groups available for scheduled workshops
97,horticultural therapist certification in progress interested in gardening programs for rehabilitation stress relief available weekday mornings
98,watershed management specialist can help with local conservation water testing etc available weekends for field work in local watersheds only
99,mental health first aid trainer expertise in suicide prevention available evenings for training sessions awareness programs
100,urban farming expert grow food on my own city lot can help with community gardens food production avail for planningeducationhandson help
